,Column,real_search,ingredient,page_title,episode_no,Title,airdate,episode_notes,page_url,description
1994,1994,,Vanilla Beans,Vanilla,109,Duck for Dinner,12/13/2011,Each basket included an ingredient from a duck.,http://en.wikipedia.org/wiki/Vanilla,"Vanilla is a flavor derived from orchids of the genus Vanilla, primarily from the Mexican species, flat-leaved vanilla (V. planifolia). The word vanilla, derived from the diminutive of the Spanish word vaina (vaina itself meaning sheath or pod), simply translates as little pod. Pre-Columbian Mesoamerican people cultivated the vine of the vanilla orchid, called tlilxochitl by the Aztecs, and Spanish conquistador Hernán Cortés is credited with introducing both vanilla and chocolate to Europe in the 1520s.
"
1995,1995,Cupcake,Vanilla Cupcakes,,234,Chopped Tournament of Stars: Comedians!,3/23/2014,Part 3 of 5.,,
1996,1996,Fondant,Vanilla Fondant Cake,,199,Sweet Surprises,7/16/2013,All courses had a sweet as a required ingredient. These sweet ingredients were hidden under a separate cloche.,,
1997,1997,Icing (food),Vanilla Frosting,,208,Hero Chefs,9/10/2013,"All of the chefs are heroes in their community. Judge Cheryl Barbara was the winner of the first school chef episode, Class Acts (9x13).",,
1998,1998,,Vanilla Ice Cream,Vanilla ice cream,110,The Big Scoop,12/20/2011,,http://en.wikipedia.org/wiki/Vanilla_ice_cream,"A major use of vanilla is in the flavouring of ice cream. In North America and Europe the most common use of vanilla flavouring is for ice cream, and many people consider it to be the ""default"" or ""plain"" flavour.
"
1999,1999,,Vanilla Ice Cream,Vanilla ice cream,231,Grandma vs. Grandma,3/4/2014,"All contestants are grandmothers.The meatloaf mix is made of a mix of Veal Pork and Beef. Old Fashioned is a mix of bourbon, bitters, soda and sugar.",http://en.wikipedia.org/wiki/Vanilla_ice_cream,"A major use of vanilla is in the flavouring of ice cream. In North America and Europe the most common use of vanilla flavouring is for ice cream, and many people consider it to be the ""default"" or ""plain"" flavour.
"
2000,2000,Pudding,Vanilla Pudding Cups,,222,Firefighter Chefs,1/12/2014,All contestants are firefighters.,,
2001,2001,Yogurt,Vanilla Yogurt,,99,Time & Space,10/4/2011,,,
2002,2002,,Veal Tongue,Salceson,225,All-Burger Meal!,2/9/2014,The chefs must make burgers in each round.,http://en.wikipedia.org/wiki/Salceson,Salceson is a type of head cheese found in Polish cuisine.
2003,2003,Meat analogue,Vegan Pepperoni,,224,Pizza Perfect,2/2/2014,,,
2004,2004,,Vegetable Yeast Spread,Vegemite,53,Dream'n of Redeem'n,7/20/2010,This episode featured four past runners-up.,http://en.wikipedia.org/wiki/Vegemite,Vegemite (/ˈvɛdʒɨmaɪt/ VEJ-ə-myt) is a dark brown Australian food paste made from leftover brewers' yeast extract with various vegetable and spice additives developed by Cyril P.
2005,2005,,Veggie Terrine,Terrine (food),174,Chopped All-Stars: Food Network vs. Cooking Channel,4/7/2013,,http://en.wikipedia.org/wiki/Terrine_(food),"A terrine (French pronunciation: ​[tɛ.ʁin]) is a French forcemeat loaf similar to a pâté, made with more coarsely chopped ingredients. Terrines are usually served cold or at room temperature. Most terrines contain a large amount of fat as well as pork, although it is often not the main ingredient: Many terrines are made with typical French game meat, like deer and boar (which are generally not eaten any other way in France).
"
2006,2006,,Verjus,Verjuice,115,On the Line,1/31/2012,This is the first episode to feature four chefs who are natives of different countries.,http://en.wikipedia.org/wiki/Verjuice,"Verjuice (/ˈvɜrˌdʒuːs/ VUR-jooss; from Middle French vertjus ""green juice"") is a highly acidic juice made by pressing unripe grapes, crab-apples or other sour fruit. Sometimes lemon or sorrel juice, herbs or spices are added to change the flavour. In the Middle Ages, it was widely used all over Western Europe as an ingredient in sauces, as a condiment, or to deglaze preparations. It is still used to some extent in the American South.
"
2007,2007,,Violet Mustard,Mustard (condiment),38,Against the Tide,4/19/2010,"This was the first episode to feature an ingredient, violet mustard, that the judges were not familiar with.",http://en.wikipedia.org/wiki/Mustard_(condiment),"Mustard is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta; brown or Indian mustard, Brassica juncea; or black mustard, B. nigra). The whole, ground, cracked, or bruised mustard seeds are mixed with water, salt, lemon juice, or other liquids, and sometimes other flavorings and spices, to create a paste or sauce ranging in color from bright yellow to dark brown.
Commonly paired with meats and cheeses, mustard is a popular addition to sandwiches, salads, hamburgers, and hot dogs. "
2008,2008,,Violet Mustard,Mustard (condiment),77,Chefs on a Mission,4/26/2011,,http://en.wikipedia.org/wiki/Mustard_(condiment),"Mustard is a condiment made from the seeds of a mustard plant (white or yellow mustard, Sinapis hirta; brown or Indian mustard, Brassica juncea; or black mustard, B. nigra). The whole, ground, cracked, or bruised mustard seeds are mixed with water, salt, lemon juice, or other liquids, and sometimes other flavorings and spices, to create a paste or sauce ranging in color from bright yellow to dark brown.
Commonly paired with meats and cheeses, mustard is a popular addition to sandwiches, salads, hamburgers, and hot dogs. "
2009,2009,,Vodka,Vodka,168,Chopped Champions: Part 2,1/22/2013,,http://en.wikipedia.org/wiki/Vodka,"Vodka (Polish: wódka, Russian: водка) is a distilled beverage composed primarily of water and ethanol, sometimes with traces of impurities and flavorings. Traditionally, vodka is made by the distillation of fermented grains or potatoes, though some modern brands use other substances - such as fruits or sugar.
Traditionally prepared vodkas had an alcoholic content of 40% by volume.[citation needed] Today, the standard Russian, Ukrainian, Estonian, Polish, Latvian, Lithuanian and Czech vodkas are still 40% alcohol by volume (ABV) or 80 proof. The European Union has established a minimum of 37.5% ABV for any ""European vodka"" to be named as such. "
2010,2010,,Vodka Martini,Vodka martini,,Dread and Breakfast,3/18/2014,"The three rounds this time were Breakfast, lunch, and dinner.",http://en.wikipedia.org/wiki/Vodka_martini,"A vodka martini, also known as a vodkatini or kangaroo cocktail, is a cocktail made with vodka and vermouth, a variation of a martini.
A vodka martini is made by combining vodka, dry vermouth, and ice in a cocktail shaker or mixing glass. The ingredients are chilled, either by stirring or shaking, then strained and served ""straight up"" (without ice) in a chilled cocktail glass. The drink may be garnished with an olive, a ""twist"" (a strip of lemon peel squeezed or twisted), capers, or cocktail onions (with the onion garnish specifically yielding a vodka Gibson).
"
2011,2011,,Waffle Cones,Ice cream cone,60,"$50,000 Tournament: Grand Finale",9/28/2010,The chefs were given 50 minutes in the dessert round rather than the normal 30 to allow adequate time to bake.,http://en.wikipedia.org/wiki/Ice_cream_cone,"An ice cream cone, poke or cornet is a dry, cone-shaped pastry, usually made of a wafer similar in texture to a waffle, which enables ice cream to be held in the hand and eaten without a bowl or spoon. Various types of ice cream cones include wafer (or cake) cones, waffle cones, and sugar cones.
Many novelty style cones are made, including pretzel cones and chocolate-coated cones. A variety of double wafer cone exists that allows two scoops of ice cream to be served side by side. "
2012,2012,,Waffles,Waffle,212,Brunch Boxes,10/15/2013,Each basket contained ingredients commonly used to prepare brunch dishes.,http://en.wikipedia.org/wiki/Waffle,"A waffle is a leavened batter or dough cooked between two plates, patterned to give a characteristic size, shape and surface impression. There are many variations based on the type of iron and recipe used, with over a dozen regional varieties in Belgium alone.
Waffles are eaten throughout the world, particularly in Belgium, France, Netherlands, Scandinavia, and the United States.
"
2013,2013,Marbled meat,Wagyu Rib-eye Steaks,,217,Celebrity Holiday Bash,12/3/2013,"All the chefs are celebrities competing for a charity. As a food safety measure, at the start of the entrée round the competitors were informed that rosca de reyes contains several small baby Jesus figurines.",,
2014,2014,,Wakame,Wakame,175,Chopped All-Stars: Mega Chefs,4/14/2013,,http://en.wikipedia.org/wiki/Wakame,"Wakame (ワカメ, wakame?) is a sea vegetable, or edible seaweed. It has a subtly sweet flavour and is most often served in soups and salads.
Sea-farmers have grown wakame in Japan from the Nara period.[better source needed] It has been nominated as among 100 of the world's worst invasive species according to the Global Invasive Species Database.
"
2015,2015,,Wakame Seaweed,Wakame,66,Victory on the Brain,1/4/2011,The fish heads used in the entrée round were from northeastern cod.,http://en.wikipedia.org/wiki/Wakame,"Wakame (ワカメ, wakame?) is a sea vegetable, or edible seaweed. It has a subtly sweet flavour and is most often served in soups and salads.
Sea-farmers have grown wakame in Japan from the Nara period.[better source needed] It has been nominated as among 100 of the world's worst invasive species according to the Global Invasive Species Database.
"
2016,2016,,Walnuts,Walnut,4,"Banana, Collard Greens, Grits",2/3/2009,"In the appetizer round, Chef Chuboda refused to use bananas in his dish, leading to his elimination. In the dessert round, Chef Gonzalez accidentally used salt instead of sugar in his dish, asserting that this resulted in his elimination.",http://en.wikipedia.org/wiki/Walnut,"A walnut is an edible seed of any tree of the genus Juglans (Family Juglandaceae), especially the Persian or English walnut, Juglans regia. Broken nutmeats of the eastern black walnut from the tree Juglans nigra are also commercially available in small quantities, as are foods prepared with butternut nutmeats from Juglans cinerea.
Walnut seeds are a high density source of nutrients, particularly proteins and essential fatty acids. Walnuts, like other tree nuts, must be processed and stored properly. "
2017,2017,,Walnuts,Walnut,50,Green Apps and Lamb,6/29/2010,,http://en.wikipedia.org/wiki/Walnut,"A walnut is an edible seed of any tree of the genus Juglans (Family Juglandaceae), especially the Persian or English walnut, Juglans regia. Broken nutmeats of the eastern black walnut from the tree Juglans nigra are also commercially available in small quantities, as are foods prepared with butternut nutmeats from Juglans cinerea.
Walnut seeds are a high density source of nutrients, particularly proteins and essential fatty acids. Walnuts, like other tree nuts, must be processed and stored properly. "
2018,2018,,Walnuts,Walnut,92,My Way,8/9/2011,,http://en.wikipedia.org/wiki/Walnut,"A walnut is an edible seed of any tree of the genus Juglans (Family Juglandaceae), especially the Persian or English walnut, Juglans regia. Broken nutmeats of the eastern black walnut from the tree Juglans nigra are also commercially available in small quantities, as are foods prepared with butternut nutmeats from Juglans cinerea.
Walnut seeds are a high density source of nutrients, particularly proteins and essential fatty acids. Walnuts, like other tree nuts, must be processed and stored properly. "
2019,2019,,Walnuts,Walnut,126,Own It!,4/17/2012,,http://en.wikipedia.org/wiki/Walnut,"A walnut is an edible seed of any tree of the genus Juglans (Family Juglandaceae), especially the Persian or English walnut, Juglans regia. Broken nutmeats of the eastern black walnut from the tree Juglans nigra are also commercially available in small quantities, as are foods prepared with butternut nutmeats from Juglans cinerea.
Walnut seeds are a high density source of nutrients, particularly proteins and essential fatty acids. Walnuts, like other tree nuts, must be processed and stored properly. "
2020,2020,,Walnuts,Walnut,161,Thirsty for Victory,12/11/2012,"Chef Grossman was 16-years old at the time he competed, making him the youngest chef to appear on Chopped outside the special ""teen chefs"" episode.",http://en.wikipedia.org/wiki/Walnut,"A walnut is an edible seed of any tree of the genus Juglans (Family Juglandaceae), especially the Persian or English walnut, Juglans regia. Broken nutmeats of the eastern black walnut from the tree Juglans nigra are also commercially available in small quantities, as are foods prepared with butternut nutmeats from Juglans cinerea.
Walnut seeds are a high density source of nutrients, particularly proteins and essential fatty acids. Walnuts, like other tree nuts, must be processed and stored properly. "
2021,2021,,Walnuts,Walnut,202,Chopped Family Feud,8/11/2013,The contestants are two pairs of brothers who have each competed together on Iron Chef America.,http://en.wikipedia.org/wiki/Walnut,"A walnut is an edible seed of any tree of the genus Juglans (Family Juglandaceae), especially the Persian or English walnut, Juglans regia. Broken nutmeats of the eastern black walnut from the tree Juglans nigra are also commercially available in small quantities, as are foods prepared with butternut nutmeats from Juglans cinerea.
Walnut seeds are a high density source of nutrients, particularly proteins and essential fatty acids. Walnuts, like other tree nuts, must be processed and stored properly. "
2022,2022,,Wasabi Peas,Wasabi,48,Turbot Powered,6/15/2010,,http://en.wikipedia.org/wiki/Wasabi,"Wasabi (わさび（山葵）?, originally 和佐比; Wasabia japonica or Eutrema japonica), is a member of the Brassicaceae family, which includes cabbages, horseradish, and mustard. It is also called Japanese horseradish, although horseradish is a different plant (which is often used as a substitute for wasabi). Its root is used as a condiment and has an extremely strong flavor. Its hotness is more akin to that of a hot mustard than that of the capsaicin in a chili pepper, producing vapours that stimulate the nasal passages more than the tongue. "
2023,2023,,Wasabi Peas,Wasabi,138,Orzo It Seemed,7/17/2012,,http://en.wikipedia.org/wiki/Wasabi,"Wasabi (わさび（山葵）?, originally 和佐比; Wasabia japonica or Eutrema japonica), is a member of the Brassicaceae family, which includes cabbages, horseradish, and mustard. It is also called Japanese horseradish, although horseradish is a different plant (which is often used as a substitute for wasabi). Its root is used as a condiment and has an extremely strong flavor. Its hotness is more akin to that of a hot mustard than that of the capsaicin in a chili pepper, producing vapours that stimulate the nasal passages more than the tongue. "
2024,2024,,Water Chestnuts,Eleocharis dulcis,59,"$50,000 Tournament: Round Four",9/21/2010,,http://en.wikipedia.org/wiki/Eleocharis_dulcis,"The Chinese water chestnut (Eleocharis dulcis; synonyms E. equisetina, E. indica, E. plantaginea, E. "
2025,2025,,Water Chestnuts,Eleocharis dulcis,167,Chopped Champions: Part 1,1/15/2013,"This was the first of a five-part series of episodes, where sixteen past champions competed. The winner of each preliminary round advanced to the finale, where they competed for $50,000. The fish heads used in the entrée round were from striped bass.",http://en.wikipedia.org/wiki/Eleocharis_dulcis,"The Chinese water chestnut (Eleocharis dulcis; synonyms E. equisetina, E. indica, E. plantaginea, E. "
2026,2026,,Watercress,Watercress,26,"Chopped Champions Event, Round Four: Bring It!",9/1/2009,,http://en.wikipedia.org/wiki/Watercress,"Watercress, with the botanical name Nasturtium officinale, is a fast-growing, aquatic or semi-aquatic, perennial plant native to Europe and Asia, and one of the oldest known leaf vegetables consumed by humans. It is a member of the family Brassicaceae, botanically related to garden cress, mustard and radish — all noteworthy for a peppery, tangy flavour.
The hollow stems of watercress are floating, and the leaves are pinnately compound. Small, white and green flowers are produced in clusters.
"
2027,2027,,Watercress,Watercress,100,Everything's Rosy,10/11/2011,,http://en.wikipedia.org/wiki/Watercress,"Watercress, with the botanical name Nasturtium officinale, is a fast-growing, aquatic or semi-aquatic, perennial plant native to Europe and Asia, and one of the oldest known leaf vegetables consumed by humans. It is a member of the family Brassicaceae, botanically related to garden cress, mustard and radish — all noteworthy for a peppery, tangy flavour.
The hollow stems of watercress are floating, and the leaves are pinnately compound. Small, white and green flowers are produced in clusters.
"
2028,2028,,Watercress,Watercress,163,Belly Up,1/1/2013,"Chef Klette-Kolton is the business partner of Lauren Gerrie, runner-up of the second Chopped Champions tournament.",http://en.wikipedia.org/wiki/Watercress,"Watercress, with the botanical name Nasturtium officinale, is a fast-growing, aquatic or semi-aquatic, perennial plant native to Europe and Asia, and one of the oldest known leaf vegetables consumed by humans. It is a member of the family Brassicaceae, botanically related to garden cress, mustard and radish — all noteworthy for a peppery, tangy flavour.
The hollow stems of watercress are floating, and the leaves are pinnately compound. Small, white and green flowers are produced in clusters.
"
2029,2029,,Watercress,Watercress,202,Chopped Family Feud,8/11/2013,The contestants are two pairs of brothers who have each competed together on Iron Chef America.,http://en.wikipedia.org/wiki/Watercress,"Watercress, with the botanical name Nasturtium officinale, is a fast-growing, aquatic or semi-aquatic, perennial plant native to Europe and Asia, and one of the oldest known leaf vegetables consumed by humans. It is a member of the family Brassicaceae, botanically related to garden cress, mustard and radish — all noteworthy for a peppery, tangy flavour.
The hollow stems of watercress are floating, and the leaves are pinnately compound. Small, white and green flowers are produced in clusters.
"
2030,2030,,Watercress,Watercress,223,Hoofin' It!,1/21/2014,,http://en.wikipedia.org/wiki/Watercress,"Watercress, with the botanical name Nasturtium officinale, is a fast-growing, aquatic or semi-aquatic, perennial plant native to Europe and Asia, and one of the oldest known leaf vegetables consumed by humans. It is a member of the family Brassicaceae, botanically related to garden cress, mustard and radish — all noteworthy for a peppery, tangy flavour.
The hollow stems of watercress are floating, and the leaves are pinnately compound. Small, white and green flowers are produced in clusters.
"
2031,2031,,Watermelon,Watermelon,132,Grilltastic!,5/29/2012,"This was a grilling-themed episode. The stovetops were outfitted with grill sheets and two other burners. In contrast to the previous two grilling-themed episodes, the ovens were kept on and the chefs were allowed to use them.",http://en.wikipedia.org/wiki/Watermelon,"Watermelon (Citrullus lanatus (Thunb.), family Cucurbitaceae) is a vine-like (scrambler and trailer) flowering plant originally from southern Africa. Its fruit, which is also called watermelon, is a special kind referred to by botanists as a pepo, a berry which has a thick rind (exocarp) and fleshy center (mesocarp and endocarp). Pepos are derived from an inferior ovary, and are characteristic of the Cucurbitaceae. The watermelon fruit, loosely considered a type of melon – although not in the genus Cucumis – has a smooth exterior rind (usually green with dark green stripes or yellow spots) and a juicy, sweet interior flesh (usually deep red to pink, but sometimes orange, yellow, or white).
"
2032,2032,,Watermelon,Watermelon,145,Grill Masters: Part Four,8/12/2012,,http://en.wikipedia.org/wiki/Watermelon,"Watermelon (Citrullus lanatus (Thunb.), family Cucurbitaceae) is a vine-like (scrambler and trailer) flowering plant originally from southern Africa. Its fruit, which is also called watermelon, is a special kind referred to by botanists as a pepo, a berry which has a thick rind (exocarp) and fleshy center (mesocarp and endocarp). Pepos are derived from an inferior ovary, and are characteristic of the Cucurbitaceae. The watermelon fruit, loosely considered a type of melon – although not in the genus Cucumis – has a smooth exterior rind (usually green with dark green stripes or yellow spots) and a juicy, sweet interior flesh (usually deep red to pink, but sometimes orange, yellow, or white).
"
2033,2033,,Watermelon,Watermelon,210,Count Your Chickens,9/24/2013,All baskets have chicken products.,http://en.wikipedia.org/wiki/Watermelon,"Watermelon (Citrullus lanatus (Thunb.), family Cucurbitaceae) is a vine-like (scrambler and trailer) flowering plant originally from southern Africa. Its fruit, which is also called watermelon, is a special kind referred to by botanists as a pepo, a berry which has a thick rind (exocarp) and fleshy center (mesocarp and endocarp). Pepos are derived from an inferior ovary, and are characteristic of the Cucurbitaceae. The watermelon fruit, loosely considered a type of melon – although not in the genus Cucumis – has a smooth exterior rind (usually green with dark green stripes or yellow spots) and a juicy, sweet interior flesh (usually deep red to pink, but sometimes orange, yellow, or white).
"
2034,2034,,Watermelon Cucumbers,Zucchini yellow mosaic virus,233,Tournament of Stars: Rachael vs. Guy!,3/16/2014,"Part 2 of 5.Competing for $50,000 towards a charity. Lou Diamond Phillips and Coolio were the winner and the runner-up respectively of Season 1 of Rachel vs. Guy. Carnie Wilson was the Season 2 runner-up and Penn Jillette was Season 3 runner-up.",http://en.wikipedia.org/wiki/Zucchini_yellow_mosaic_virus,"Zucchini Yellow Mosaic Virus (ZYMV) is an aphid-borne potyvirus, regarded as a major pathogen of cucurbits in most regions of the world where these crops are cultivated.
ZYMV affects all cucurbits including pumpkins, squashes, vegetable marrows, courgettes, melons, watermelons, cucumbers, gherkins and various gourds especially zucchinis. The effects are severe leaf mosaic, yellowing and eventually ""shoestring"" symptoms in the leaves. The fruits are stunted, twisted and deformed by raised protuberances, which reduces yield and makes them unmarketable in some cultures. "
2035,2035,Radish,Watermelon Radish,,44,Mussels Mastery & Cotton Candy Can-Do,5/4/2010,,,
2036,2036,Radish,Watermelon Radish,,93,A is for Apple. U is for Udon,8/16/2011,"This episode was dedicated to the memory of Debra Whiting, who was killed in a car accident June 30, 2011.",,
2037,2037,,Watermelon Soda,Filbert's Old Time Root Beer,218,"No Pain, No Shame",11/26/2013,,http://en.wikipedia.org/wiki/Filbert%27s_Old_Time_Root_Beer,"Filbert's Old Time is a beverage company based in Chicago, Illinois. Since 1926 it has bottled and distributed soft drinks, as well as non-carbonated beverages.
"
2038,2038,Watermelon,Watermelon Syrup,,191,Wurst Case Scenario,7/23/2013,"Chef Joshi works at Tertulia, under occasional Chopped judge Seamus Mullen.",,
2039,2039,,Wattleseeds,Wattleseed,181,Aussie Awesome,4/16/2013,The basket ingredients were inspired by the Australian theme.,http://en.wikipedia.org/wiki/Wattleseed,"Wattleseeds are the edible seeds from any of the 120 species of Australian Acacia that were traditionally used as food by Australian Aborigines and they were eaten either green (and cooked) or dried (and milled to a flour) to make a type of bush bread.
Acacia seed flour has recently gained popularity in Australia due to its high nutritional content, hardiness, availability, and low toxicity. Due to its low glycemic index, it is also often incorporated into diabetic foods. Vic Cherikoff (a significant pioneer in the Australian native food industry) developed Wattleseed as a flavouring in 1984 from selected species and this is now the major commercial product used because of its chocolate, coffee, hazelnut flavour profile. "
2040,2040,,Wheat Beer,Wheat beer,91,Chard & True,8/2/2011,,http://en.wikipedia.org/wiki/Wheat_beer,"Wheat beer is a beer that is brewed with a large proportion of wheat in addition to malted barley. Wheat beers are usually top-fermented (as required by law in Germany). The main varieties are weissbier (includes hefeweizen), witbier, and the sour varieties, such as lambic, Berliner Weisse and gose.
"
2041,2041,,Wheatgrass,Wheatgrass,163,Belly Up,1/1/2013,"Chef Klette-Kolton is the business partner of Lauren Gerrie, runner-up of the second Chopped Champions tournament.",http://en.wikipedia.org/wiki/Wheatgrass,"Wheatgrass is a food prepared from the cotyledons of the common wheat plant, Triticum aestivum (subspecies of the family Poaceae). It is sold either as a juice or powder concentrate. Wheatgrass differs from wheat malt in that it is served freeze-dried or fresh, while wheat malt is convectively dried. Wheatgrass is allowed to grow longer than malt. "
2042,2042,,Wheatgrass,Wheatgrass,190,Wheatgrass Roots,6/18/2013,This was a vegetarian and vegan-themed episode; the only animal product was the local honey.,http://en.wikipedia.org/wiki/Wheatgrass,"Wheatgrass is a food prepared from the cotyledons of the common wheat plant, Triticum aestivum (subspecies of the family Poaceae). It is sold either as a juice or powder concentrate. Wheatgrass differs from wheat malt in that it is served freeze-dried or fresh, while wheat malt is convectively dried. Wheatgrass is allowed to grow longer than malt. "
2043,2043,,Whelk Snails,Whelk,201,Walk on the Whelk Side,8/6/2013,,http://en.wikipedia.org/wiki/Whelk,"Whelk is a common name that is applied to various kinds of sea snail, many of which have historically been used, or are still used, by humans for food.
Although a number of whelks are relatively large and are in the family Buccinidae (the true whelks), the word whelk is also applied to some other marine gastropod mollusc species within several families of sea snails that are not very closely related.
"
2044,2044,,Whipped Cream Cheese,Whipped cream,211,Liver and Learn,10/1/2013,"Chef Peacock's brother Darius Peacock is a two-time Chopped winner (in season 1 and in season 2's ""Chopped Champions"" event).",http://en.wikipedia.org/wiki/Whipped_cream,"Whipped cream is cream that has been beaten by a mixer, whisk, or fork until it is light and fluffy. Whipped cream is often sweetened and sometimes flavored with vanilla, and is often called Chantilly cream or crème Chantilly (pronounced: [kʁɛm ʃɑ̃tiji]).
"
2045,2045,,Whipped Topping,Whipped cream,148,Drawing a Flank,8/21/2012,,http://en.wikipedia.org/wiki/Whipped_cream,"Whipped cream is cream that has been beaten by a mixer, whisk, or fork until it is light and fluffy. Whipped cream is often sweetened and sometimes flavored with vanilla, and is often called Chantilly cream or crème Chantilly (pronounced: [kʁɛm ʃɑ̃tiji]).
"
2046,2046,,White Anchovies,Anchovy (food),86,Thyme Flies,6/28/2011,"Chef Lee cut himself during the entrée round. Despite putting on several layers of gloves, his bleeding did not stop. Chef Lee insisted on continuing to cook and touching the ingredients with his hands. The judges considered this unsanitary, so they did not taste his entrée. This resulted in Chef Lee being eliminated.",http://en.wikipedia.org/wiki/Anchovy_(food),"Anchovies are a family (Engraulidae) of small, common salt-water forage fish. There are 144 species in 17 genera, found in the Atlantic, Indian, and Pacific Oceans. Anchovies are usually classified as an oily fish. They are small, green fish with blue reflections due to a silver longitudinal stripe that runs from the base of the caudal fin. "
2047,2047,Apricot,White Apricots,,127,All-Stars: Food Network Star Contestants,4/22/2012,,,
2048,2048,,White Asparagus,Asparagus,118,"Good Chop, Bad Chop?",2/21/2012,,http://en.wikipedia.org/wiki/Asparagus,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop.
"
2049,2049,,White Asparagus,Asparagus,170,Chopped Champions: Part 4,2/5/2013,,http://en.wikipedia.org/wiki/Asparagus,"Asparagus officinalis is a spring vegetable, a flowering perennial plant species in the genus Asparagus. It was once classified in the lily family, like its Allium cousins, onions and garlic, but the Liliaceae have been split and the onion-like plants are now in the family Amaryllidaceae and asparagus in the Asparagaceae. Asparagus officinalis is native to most of Europe, northern Africa and western Asia, and is widely cultivated as a vegetable crop.
"
2050,2050,,White Balsamic Vinegar,Balsamic vinegar,173,Redemption Intention,3/19/2013,This episode featured four past runners-up.,http://en.wikipedia.org/wiki/Balsamic_vinegar,"Balsamic vinegar (Italian: aceto balsamico) is a vinegar originating from Italy, increasingly popular throughout the world.
The original, costly, traditional balsamic vinegar (Aceto Balsamico Tradizionale), is made from a reduction of cooked white Trebbiano grape juice, and used as a condiment. It has been produced in Modena and Reggio Emilia since the Middle Ages, being mentioned in a document dated 1046. Appreciated in the House of Este during the Renaissance, it is highly valued by modern chefs and gourmet food lovers.
Balsamic Vinegar of Modena (Aceto Balsamico di Modena), an inexpensive imitation, is today widely available and much better known. "
2051,2051,,White Chocolate,White chocolate,8,"Coconut, Calamari, Donuts",3/3/2009,"In the appetizer round, Chef LePape failed to get any food onto his plates. The judges allowed him to bring the pan from the oven to the tasting table to allow the judges to taste the fish he had prepared after the other competitors were asked for their permission to do so. Despite this, Chef LePape was eliminated.",http://en.wikipedia.org/wiki/White_chocolate,"White chocolate is a chocolate derivative. It commonly consists of cocoa butter, sugar and milk solids, and is characterized by a pale yellow or ivory appearance. The melting point of cocoa butter, its primary cocoa bean component, is high enough to keep white chocolate solid at room temperature.
"
2052,2052,,White Chocolate,White chocolate,114,Redemption Competition,1/24/2012,This episode featured four past runners-up.,http://en.wikipedia.org/wiki/White_chocolate,"White chocolate is a chocolate derivative. It commonly consists of cocoa butter, sugar and milk solids, and is characterized by a pale yellow or ivory appearance. The melting point of cocoa butter, its primary cocoa bean component, is high enough to keep white chocolate solid at room temperature.
"
2053,2053,Chocolate chip,White Chocolate Chips,,34,Sweet Redemption,3/21/2010,This was the first episode to feature four past runners-up.,,
2054,2054,Chocolate chip,White Chocolate Chips,,54,Wok This Way,7/27/2010,,,
2055,2055,Chocolate chip,White Chocolate Chips,,108,"Can't Catch Me, I'm the Gingerbread Lobster!",12/6/2011,"This episode was a holiday-themed episode. The chefs were directed to prepare holiday-themed dishes for each course. Chef Lai cut his palm during the appetizer round, but did not tend to the wound because he thought the blood on the plate was a smudge of harissa; the judges did not taste his dish as a result.",,
2056,2056,Chocolate chip,White Chocolate Chips,,206,Keep On Trucking,8/18/2013,The original airing of this episode was as a lead-in to Food Network's The Great Food Truck Race. All the chefs operate food trucks.,,
2057,2057,Hot chocolate,White Chocolate Cocoa Mix,,226,Chocolate Competition,2/11/2014,All baskets contain something with chocolate.,,
2058,2058,,White Miso,Miso,78,The Icing on the Steak,5/3/2011,,http://en.wikipedia.org/wiki/Miso,"Miso (みそ or 味噌?) is a traditional Japanese seasoning produced by fermenting soybeans with salt and the fungus Aspergillus oryzae, known in Japanese as kōjikin (麹菌?), and sometimes rice, barley, or other ingredients. The result is a thick paste used for sauces and spreads, pickling vegetables or meats, and mixing with dashi soup stock to serve as miso soup called misoshiru (味噌汁?), a Japanese culinary staple. High in protein and rich in vitamins and minerals, miso played an important nutritional role in feudal Japan. Miso is still widely used in Japan, both in traditional and modern cooking, and has been gaining worldwide interest.
"
2059,2059,Squid (food),Whole Calamari,,92,My Way,8/9/2011,,,
2060,2060,Coconut,Whole Coconut,,147,Grill Masters: Finale,8/19/2012,,,
